Cost,weightedFMeasure
0.1,0.8911918791229438
0.6,0.8805796807551601
1.1,0.8923244070462157
1.6,0.901621707659132
2.1,0.902802848893525
2.6,0.9083019446318519
3.1,0.9077008337097902
3.6,0.9060356194066959
4.1,0.9060178844733514
4.6,0.90936569458378
5.1,0.9100199772214259
5.6,0.9078928405564544
6.1,0.9089879968214571
6.6,0.9095800131391731
7.1,0.9095004693496923
7.6,0.9105368563796157
8.1,0.911635324783652
8.6,0.9110795552503081
9.1,0.9105214343349667
9.6,0.9110492270674505
10.1,0.9105507066460145
10.6,0.9105802461022025
11.1,0.9105855796924858
11.6,0.9105783124356932
12.1,0.9110188761746104
12.6,0.9104684398731172
13.1,0.9093702735731456
13.6,0.9104247276216926
14.1,0.9115246441029756
14.6,0.910434273060018
15.1,0.9087826698068172
15.6,0.908766556381931
16.1,0.9093401095926936
16.6,0.9082776732479046
17.1,0.9082889842184283
17.6,0.9088154441992536
18.1,0.9093610563272314
18.6,0.9093524345478748
19.1,0.9093524345478748
19.6,0.9104625760979463
20.1,0.9105030173077151
20.6,0.909946336491683
21.1,0.9104400040067556
21.6,0.9104400040067556
22.1,0.9099005590945612
22.6,0.9098605388765832
23.1,0.91042902534341
23.6,0.9098436019597567
24.1,0.9103966283579161
24.6,0.9098287539747756
Cost,weightedFMeasure
